sentence,label
Put the payment gateway on me.,assign_task
I'll pick up the payment gateway myself.,assign_task
The deployment script should go to Priya.,assign_task
Put the password reset flow on me.,assign_task
All the work for the data export feature is wrapped up.,complete_task
That task is fully done and ready for review.,complete_task
I'm about halfway through the authentication service.,update_status
I've wrapped up the notification service and pushed the changes.,complete_task
Please document on SCRUM-42 that the team agreed to use a third-party library.,add_comment
"We need a new story for the unit tests for auth, Avery will own it.",create_task
Let's reassign the caching layer from Casey to Taylor.,assign_task
Please document on SCRUM-3 that we changed the deadline to Friday.,add_comment
We need to open a bug for the rate limiting middleware.,create_task
Remind me to add a note on SCRUM-36 later.,add_comment
"The load balancer config is finished, nothing left to do.",complete_task
"I don't see a ticket for the accessibility fixes, I'll create one.",create_task
Can someone create a story for the authentication service?,create_task
I think we should open a ticket for the notification service.,create_task
I deployed SCRUM-48.,complete_task
Just done with the login page UI.,complete_task
Can you drop a note on the caching layer that the PR needs another round of review?,add_comment
I've been taking care of the data export feature since yesterday.,update_status
"I've finished the API integration module, it's ready for review.",complete_task
Add a note to the caching layer saying we got sign-off from the product team.,add_comment
After this call I'll update the error tracking setup with the details.,add_comment
Someone should note on the API integration module that we changed the deadline to Friday.,add_comment
We need to open a bug for the search feature.,create_task
Just closed out SCRUM-13.,complete_task
"Casey, would you be able to handle the deployment script?",assign_task
Avery said they'd pick up the database schema migration.,assign_task
I'll note that in the ticket.,add_comment
The database schema migration is on hold until we resolve the config issue.,update_status
The api integration module has been completed.,complete_task
We should create a spike for the dark mode feature.,create_task
I'm assigning the notification service to Riley.,assign_task
Can someone create a story for the Redis integration?,create_task
I'll note that in the ticket.,add_comment
Morgan deployed the payment gateway yesterday.,complete_task
SCRUM-31 is blocked waiting on infra.,update_status
I'll pick up the caching layer myself.,assign_task
I'll assign SCRUM-7 to Jordan.,assign_task
"I don't see a ticket for the data export feature, I'll create one.",create_task
Riley finished the login page UI last sprint.,complete_task
I'm assigning the login page UI to Morgan.,assign_task
I'll open a ticket for the email service today.,create_task
My PR for the Redis integration is up for review.,update_status
Can you assign the admin dashboard to Riley?,assign_task
Taylor finished the Redis integration yesterday.,complete_task
Devon is going to pick up the API documentation.,assign_task
I've resolved the reporting module and pushed the changes.,complete_task
I'm assigning the unit tests for auth to Jordan.,assign_task
SCRUM-46 is now assigned to Taylor.,assign_task
I can't move forward on the reporting module until the API is ready.,update_status
We need to create a new task for the rate limiting middleware.,create_task
Let's log a bug for the issue in the OAuth implementation.,create_task
I've wrapped up the onboarding flow.,complete_task
I'll own the S3 bucket setup going forward.,assign_task
I'll note that in the ticket.,add_comment
Log a comment on the email service: we got sign-off from the product team.,add_comment
SCRUM-21 is in review.,update_status
Blocked on the error tracking setup due to a dependency on Riley.,update_status
I'll document that decision in SCRUM-29.,add_comment
I'll open a ticket for the deployment script today.,create_task
I'll own the reporting module going forward.,assign_task
Today I'll continue actively working on the authentication service.,update_status
Alex finished the password reset flow last sprint.,complete_task
My plan is to open a story for the unit tests for auth today.,create_task
I'm still on SCRUM-11.,update_status
I'll update the comments on the email service with today's discussion.,add_comment
The admin dashboard is deployed to staging.,complete_task
"We need a task for the search feature, the description should cover the implementation details.",create_task
SCRUM-29 has been done with.,complete_task
I'm done with the search feature.,complete_task
We should add the API integration module to the backlog.,create_task
Please document on SCRUM-48 that we switched from MySQL to PostgreSQL for this.,add_comment
Can you move SCRUM-58 to Avery?,assign_task
Add a comment to SCRUM-11 that the approach was approved in the design review.,add_comment
Riley should be the owner of the database schema migration.,assign_task
The reporting module is in progress.,update_status
Just closed out SCRUM-37.,complete_task
Update SCRUM-7 with a comment — the approach was approved in the design review.,add_comment
Making good progress on the Redis integration.,update_status
Update the email service with a comment about the API changes.,add_comment
That feature isn't tracked yet — we need a ticket.,create_task
We can mark the admin dashboard as done.,complete_task
Priya will take over the caching layer from Quinn.,assign_task
We need to create a new task for the mobile responsive layout.,create_task
Can you update the ticket for the admin dashboard with a note that we got sign-off from the product team?,add_comment
I'll leave a note on SCRUM-25 about this.,add_comment
Action item: create a ticket for the dark mode feature.,create_task
SCRUM-12 is blocked waiting on infra.,update_status
I'll add a comment to the caching layer after the standup.,add_comment
I'll add a technical note to SCRUM-49 for future reference.,add_comment
I'm about halfway through the webhook handler.,update_status
I'm happy to say the caching layer is complete.,complete_task
I'm happy to say the data export feature is complete.,complete_task
I merged the deployment script last night.,complete_task
"I'm blocked on the search feature, waiting for Morgan.",update_status
SCRUM-18 is now assigned to Alex.,assign_task
"We're missing a story for the dark mode feature, someone add it.",create_task
After this call I'll update the rate limiting middleware with the details.,add_comment
I'll open a ticket for the S3 bucket setup today.,create_task
I'll add a note to the password reset flow about the approach we discussed.,add_comment
"I'm blocked on the search feature, waiting for Devon.",update_status
Today I'll continue currently handling the error tracking setup.,update_status
Can you drop a note on the authentication service that the PR needs another round of review?,add_comment
We should create a spike for the login page UI.,create_task
I'm assigning the notification service to Casey.,assign_task
I'll assign the load balancer config to Sameer.,assign_task
I need to log a task for the billing integration before EOD.,create_task
The PR for the Redis integration is merged and deployed.,complete_task
I merged the caching layer into main.,complete_task
We should add the authentication service to the backlog.,create_task
That feature isn't tracked yet — we need a ticket.,create_task
Update the login page UI with a comment about the API changes.,add_comment
I can't move forward on the webhook handler until the API is ready.,update_status
Quinn should be the owner of the admin dashboard.,assign_task
My PR for the rate limiting middleware got merged.,complete_task
I'm close to finishing the notification service.,update_status
The email service has been deployed.,complete_task
Someone should create an issue for the user profile page.,create_task
Sameer will own the S3 bucket setup going forward.,assign_task
There's no task for the reporting module yet.,create_task
Quinn will take over the onboarding flow from Alex.,assign_task
I'll add a comment to the mobile responsive layout after the standup.,add_comment
I'll add a comment to the user profile page after the standup.,add_comment
SCRUM-43 is done.,complete_task
I deployed the search feature last night.,complete_task
Morgan said they'd pick up the webhook handler.,assign_task
Add a note to the deployment script saying we switched from MySQL to PostgreSQL for this.,add_comment
Let's assign the password reset flow to Avery.,assign_task
I merged the data export feature into main.,complete_task
Assigning SCRUM-57 to Jordan.,assign_task
Still working through SCRUM-16.,update_status
I put the rate limiting middleware into review yesterday.,update_status
The oauth implementation is deployed to staging.,complete_task
Action item: create a ticket for the unit tests for auth.,create_task
"The password reset flow is finished, nothing left to do.",complete_task
Can you open a new story for the deployment script?,create_task
Can you open a new story for the authentication service?,create_task
Please document on SCRUM-21 that we agreed to postpone this to next sprint.,add_comment
Jamie wrapped up the search feature yesterday.,complete_task
Avery finished the webhook handler last sprint.,complete_task
Can you record the decision in the accessibility fixes?,add_comment
I've been working on the notification service since yesterday.,update_status
Just closed out SCRUM-16.,complete_task
I'll take the error tracking setup.,assign_task
I'll create an investigation ticket for the Redis integration.,create_task
The email service is deployed to staging.,complete_task
I'll leave a note on SCRUM-53 about this.,add_comment
I'm happy to say the data export feature is complete.,complete_task
Let me create a task for the password reset flow.,create_task
I'll document that decision in SCRUM-59.,add_comment
Someone should note on the authentication service that we switched from MySQL to PostgreSQL for this.,add_comment
I picked up the password reset flow yesterday and it's going well.,update_status
Open a ticket for the user profile page for Taylor to pick up.,create_task
Let me add that to the ticket.,add_comment
"I'm blocked on the login page UI, waiting for Jamie.",update_status
Let's log a bug for the issue in the search feature.,create_task
Just closed out SCRUM-20.,complete_task
I merged the accessibility fixes into main.,complete_task
Blocked on the CI/CD pipeline due to a dependency on Quinn.,update_status
Today I'll continue continuing with the notification service.,update_status
I'll update the ticket for the CI/CD pipeline with what we decided.,add_comment
We should add the billing integration to the backlog.,create_task
I finished SCRUM-36 this morning.,complete_task
The mobile responsive layout should go to Jordan.,assign_task
I'll have Avery pick up the load balancer config.,assign_task
That feature isn't tracked yet — we need a ticket.,create_task
Today I'm going to create a task for the reporting module.,create_task
Note in the billing integration that we're waiting on the design team.,add_comment
That task is fully done and ready for review.,complete_task
Can we give the user profile page to Devon?,assign_task
"I need someone to take the load balancer config — Avery, can you?",assign_task
Devon will take over the login page UI from Avery.,assign_task
We should add the payment gateway to the backlog.,create_task
I'll open a ticket for the unit tests for auth today.,create_task
I deployed the Redis integration last night.,complete_task
We need to create a new task for the payment gateway.,create_task
"I've finished the accessibility fixes, it's ready for review.",complete_task
Can you move SCRUM-22 to Avery?,assign_task
I'd like Alex to own the user profile page.,assign_task
The ci/cd pipeline is blocked — we need a decision first.,update_status
"I don't see a ticket for the error tracking setup, I'll create one.",create_task
SCRUM-35 is blocked waiting on infra.,update_status
We need a new ticket for the mobile responsive layout.,create_task
Can Morgan pick this up?,assign_task
Can you assign the OAuth implementation to Morgan?,assign_task
Please document on SCRUM-52 that we decided to split this into two tasks.,add_comment
Action item: create a ticket for the Redis integration.,create_task
I'm currently handling SCRUM-17.,update_status
I finished SCRUM-21 this morning.,complete_task
